"en_url","th_url","en_title","th_title","source","confidence","note"
"https://beechooherbal.com/","https://beechooherbal.com/th/home/","Home - Bee Choo Herbal","Home - Bee Choo Herbal","semantic","high","EN home / TH home (/th/ 301s to /th/home/)"
"https://beechooherbal.com/about/","https://beechooherbal.com/th/เกี่ยวกับบีชู/","ABOUT - Bee Choo Herbal","เกี่ยวกับบีชู ซาลอน/คลินิก รักษาผมที่ดีที่สุดในประเทศไทย","semantic","high",""
"https://beechooherbal.com/author/admin/","https://beechooherbal.com/th/author/admin/","Admin, Author at Bee Choo Herbal","","hreflang","confirmed","live hreflang link"
"https://beechooherbal.com/bee-choo-hair-care-products/","https://beechooherbal.com/th/แชมพูบีชูป้องกันผมร่วง/","Bee Choo Hair Care Products - Bee Choo Herbal","แชมพูบีชูและผลิตภัณฑ์ป้องกันผมร่วง - Bee Choo Herbal","semantic","high","Products (TH title: แชมพูบีชูและผลิตภัณฑ์)"
"https://beechooherbal.com/category/blog/","https://beechooherbal.com/th/category/blog-th/","BLOG Archives - Bee Choo Herbal","","hreflang","confirmed","live hreflang link"
"https://beechooherbal.com/cure-dandruff-hair-with-herbal-treatment/","https://beechooherbal.com/th/รักษารังแค-ขจัดรังแค-ให้/","Cure Dandruff Hair with Herbal Treatment - Bee Choo Herbal","วิธีขจัดรังแคและความคันอย่างเร่งด่วน - บีชู เฮอร์เบิล","semantic","high","Dandruff"
"https://beechooherbal.com/events-news-release/","https://beechooherbal.com/th/เหตุการณ์และข่าว/","Events and News - Bee Choo Herbal","เหตุการณ์และข่าว - Bee Choo Herbal","semantic","medium","EN Events&News page <-> TH events page"
"https://beechooherbal.com/frequently-asked-questions/","https://beechooherbal.com/th/คำถามที่พบบ่อย/","Frequently Asked Questions - Bee Choo Herbal","คำถามที่พบบ่อยจากลูกค้า -","semantic","high","FAQ"
"https://beechooherbal.com/hair-loss-treatment-cost-in-thailand-prices-revealed/","https://beechooherbal.com/th/ราคาการทำทรีทเม้นท์/","What is the Hair Loss Treatment Cost in Thailand? Prices revealed - Bee Choo Herbal","ราคาการทำทรีทเม้นท์รักษาปัญหาผมร่วงในประเทศไทยเป็นอย่างไร? - Bee Choo Herbal","semantic","high","Treatment cost/prices"
"https://beechooherbal.com/hair-transplant-vs-stem-cell-vs-keratin-treatment-vs-natural-herbal-treatment/","https://beechooherbal.com/th/สมุนไพร-vs-การปลูกผม/","Hair transplant vs stem cell vs keratin treatment vs natural herbal treatment - Bee Choo Herbal","ทรีทเม้นท์สมุนไพร vs การปลูกผม - Bee Choo Herbal","semantic","high","Herbal vs hair transplant"
"https://beechooherbal.com/herbal-treatment-cure-for-bacteria-infection-alopecia-areata-and-other-hair-diseases/","https://beechooherbal.com/th/หนังศีรษะติดเชื้อ/","Herbal Treatment Cure for Bacteria Infection, Alopecia Areata and other hair diseases - Bee Choo Herbal","ทรีทเม้นท์สมุนไพรรักษาเชื้อแบคทีเรีย ผมร่วงเป็นหย่อม และปัญหาผมอื่นๆ","semantic","high","Bacterial infection / alopecia (TH title confirms)"
"https://beechooherbal.com/herbal-treatment-to-get-rid-of-oily-scalp-hair/","https://beechooherbal.com/th/วิธีแก้หนังศีรษะมัน/","Herbal Treatment to get rid of oily scalp - Bee Choo Herbal","ลดหนังศีรษะมันและคันหรือมีกลิ่นเหม็นด้วยทรีทเม้นท์ธรรมชาติ - Bee Choo Herbal","semantic","high","Oily scalp"
"https://beechooherbal.com/locations/","https://beechooherbal.com/th/สถานที่ตั้งของร้านค้า/","Locations - Bee Choo Herbal","สถานที่ตั้งของร้านค้า - บีชู ไทยแลนด์","semantic","high",""
"https://beechooherbal.com/postpartum-hair-loss-treatment-in-thailand/","https://beechooherbal.com/th/ภาวะผมร่วงเฉียบพลันของ/","Postpartum Hair Loss Treatment in Thailand - Bee Choo Herbal","ทรีตเมนต์แก้ปัญหาผมร่วงสำหรับคุณแม่หลังคลอด​ในประเทศไทย - Bee Choo Herbal","semantic","high","Postpartum (TH title: ผมร่วงสำหรับคุณแม่หลังคลอด)"
"https://beechooherbal.com/repair-chemically-damaged-dry-hair-with-herbal-treatment/","https://beechooherbal.com/th/แก้ผมเสียเร่งด่วน/","Repair Chemically Damaged Dry Hair with Herbal Treatment - Bee Choo Herbal","แก้ปัญหาผมเสียจากสารเคมีเร่งด่วนด้วยสมุนไพร - Bee Choo (บีชู เฮอร์เบิล)","semantic","high","Chemically damaged/dry hair (TH title confirms)"
"https://beechooherbal.com/reverse-premature-grey-white-hair-by-herbal-treatment/","https://beechooherbal.com/th/ปิดผมหงอกวิธีธรรมชาติ/","Reverse Premature Grey White Hair by Herbal Treatment - Bee Choo Herbal","ปิดผมหงอกและผมขาวโดยวิธีธรรมชาติ - Bee Choo Herbal","semantic","high","Grey/white hair"
"https://beechooherbal.com/reviews-and-testimonials-of-bee-choo-origin-treatment/","https://beechooherbal.com/th/รีวิวทรีทเม้นท์ที่ดี/","Reviews and Testimonials of Bee Choo Origin Treatment - Bee Choo Herbal","รีวิว ทรีทเม้นท์ บี ชู ออริจิน และการการันตีจากลูกค้า - Bee Choo Herbal","semantic","high","Testimonials"
"https://beechooherbal.com/scalp-hair-loss-treatment-salon-clinic-in-bangkok/","https://beechooherbal.com/th/ซาลอน-คลินิกรักษาผมร่วง/","Scalp Hair Loss Treatment Salon Clinic in Bangkok - Bee Choo Herbal","ซาลอน/ คลินิกรักษาผมร่วง คลินิกรักษาผมบาง ในกรุงเทพ - Bee Choo Herbal","semantic","high","Main hair-loss treatment page"
"https://beechooherbal.com/team/","https://beechooherbal.com/th/ทีม/","TEAM - Bee Choo Herbal","ทีม - เจ้าของและผู้บริหาร บีชู","semantic","high",""
